,level,parent,name,q,eppo,hosts,corr_deseases
26,7,630,Agrobacterium tumefaciens,Q131472,AGRBTU,"[('Ipomoea batatas', 'Q37937', 'IPOBA'), ('Medicago sativa', 'Q156106', 'MEDSA'), ('Prunus armeniaca', 'Q37453', 'PRNAR'), ('Prunus salicina', 'Q1250033', 'PRNSC'), ('Mimulus', 'Q159372', '1MIUG'), ('Rhododendron', 'Q189393', 'RHOPO'), ('Camellia sinensis', 'Q101815', 'CAHSI'), ('Kalanchoe', 'Q312063', '1KANG'), ('Malus', 'Q104819', '1MABG'), ('Vitis vinifera', 'Q30046', 'VITVI'), ('Beta vulgaris', 'Q165191', 'BEAVX'), ('Cineraria', 'Q2360058', 'SENCR'), ('Passiflora edulis', 'Q156790', 'PAQED'), ('Corylus avellana', 'Q124969', 'CYLAV'), ('Theobroma cacao', 'Q42385', 'THOCA'), ('Prunus domestica', 'Q44120', 'PRNDO'), ('Brassica', 'Q58677', '1BRSG'), ('Aguacate', 'Q37153', 'PEBAM'), ('Carya illinoinensis', 'Q333877', 'CYAIL'), ('Asclepias syriaca', 'Q158295', 'ASCSY'), ('Cannabis sativa', 'Q26726', 'CNISA'), ('Pyrus', 'Q25203231', '1PYUG'), ('Malus', 'Q113995820', '1MABG'), ('Pyrus', 'Q434', '1PYUG'), ('Mangifera indica', 'Q3919027', 'MNGIN'), ('Dahlia pinnata', 'Q1549236', 'DAHPI'), ('Chrysanthemum', 'Q59882', 'CHYIN'), ('Prunus avium', 'Q165137', 'PRNAV'), ('Vaccinium', '1VACG'), ('Juglans regia', 'Q46871', 'IUGRE'), ('Prunus cerasus', 'Q131517', 'PRNCE'), ('Anemone', 'Q158286', 'ANMCO'), ('Brassicaceae', 'Q156888', '1CRUF'), ('Humulus lupulus', 'Q104212', 'HUMLU'), ('Campanula', 'Q157069', '1CMPG'), ('Poinsettia', 'Q15711519', 'EPHPU'), ('Vaccinium', 'Q5079636', '1VACG'), ('Musa x paradisiaca', 'MUBPA'), ('Brassica napus', 'Q177932', 'BRSNN'), ('Geranium', 'Q157211', '1GERG'), ('Cydonia oblonga', 'Q43300', 'CYDOB'), ('herbaceous ornamental plants', '2ORNH'), ('Corylus', 'Q145889', '1CYLG'), ('Juglans regia', 'IUGRE'), ('Helianthus annuus', 'Q171497', 'HELAN'), ('Brassica oleracea var. italica', 'BRSOK'), ('Dianthus caryophyllus', 'Q158984', 'DINCA'), ('Prunus dulcis', 'Q39918', 'PRNDU'), ('Prunus amygdalus', 'Q15545507', 'PRNDU'), ('Primula', 'Q158974', '1PRIG'), ('Prunus persica', 'Q13189', 'PRNPS'), ('Daucus carota subsp. sativus', 'Q11678009', 'DAUCS'), ('Rosa', 'Q34687', '1ROSG'), (), ('Fuchsia', 'Q161066', 'FUCHY'), ('Gossypium hirsutum', 'Q133481', 'GOSHI')]","[('crown gall disease', 'Q12425880'), ('Crown gall',)]"
27,7,633,Albugo candida,Q625190,ALBUCA,"[('Brassicaceae', 'Q156888', '1CRUF')]","[('White rust',)]"
28,7,634,Pustula tragopogonis,,ALBUTR,"[('Helianthus annuus', 'Q171497', 'HELAN')]","[('White rust',)]"
29,9,0,Alternaria alternata,Q2704244,ALTEAL,"[('Nicotiana tabacum', 'Q181095', 'NIOTA'), ('Mangifera indica', 'Q3919027', 'MNGIN')]","[('Fruit rot',), ('Brown spot',)]"
30,9,0,Alternaria brassicicola,Q5234097,ALTEBI,[],"[('black spot disease', 'Q14789656')]"
31,9,0,Alternaria mali,Q4736366,ALTEMA,"[('Malus', 'Q104819', '1MABG'), ('Malus domestica', 'Q18674606', 'MABSD'), ('Malus sylvestris', 'Q47161', 'MABSY')]","[('Alternaria blotch',)]"
32,9,0,Alternaria macrospora,Q15643804,ALTEMC,"[('Gossypium hirsutum', 'Q133481', 'GOSHI')]","[('Leaf spot',)]"
33,9,0,Alternaria passiflorae,Q10406920,ALTEPA,"[('Passiflora edulis', 'Q156790', 'PAQED')]","[('Brown spot',)]"
34,9,0,Alternaria padwickii,Q4736368,ALTEPD,"[('Oryza sativa', 'Q161426', 'ORYSA')]","[('Stackburn',)]"
35,9,0,Alternaria porri,Q10406928,ALTEPO,"[('Allium', 'Q49391', '1ALLG')]","[('Purple blotch',)]"
36,9,0,Alternaria radicina,Q3021774,ALTERA,"[('Daucus carota subsp. sativus', 'Q11678009', 'DAUCS')]","[('Black rot',)]"
37,9,0,Alternaria solani,Q2715597,ALTESO,"[('Solanum tuberosum', 'Q10998', 'SOLTU')]","[('early blight', 'Q14789614')]"
38,7,637,Aphanomyces euteiches,Q4779503,APHAEU,[],"[('Aphanomyces root rot', 'Q10726070')]"
39,7,637,Aphanomyces raphani,Q4779505,APHARA,"[('Brassicaceae', 'Q156888', '1CRUF'), ('Brassica napus', 'Q177932', 'BRSNN')]","[('Black root',)]"
40,9,640,Apple mosaic virus,Q4781279,APMV00,"[('Aesculus x carnea', 'AECCR'), ('Rubus idaeus', 'Q12252383', 'RUBID'), ('Prunus armeniaca', 'Q37453', 'PRNAR'), ('Prunus cerasifera', 'Q146951', 'PRNCF'), ('Artemisia vulgaris', 'Q26663', 'ARTVU'), ('Aesculus', 'Q158752', '1AECG'), ('Prunus salicina', 'Q1250033', 'PRNSC'), ('Prunus triloba', 'Q2727171', 'PRNTR'), ('Fragaria x ananassa', 'FRAAN'), ('Malus domestica', 'Q18674606', 'MABSD'), ('Pyrus communis', 'Q146281', 'PYUCO'), ('Rubus ursinus', 'Q3775270', 'RUBUR'), ('Aesculus flava', 'Q159620', 'AECOC'), ('Crataegus', 'Q132557', '1CSCG'), ('Rubus occidentalis', 'Q7376217', 'RUBOC'), ('Prunus mahaleb', 'Q161920', 'PRNMH'), ('Corylus avellana', 'Q124969', 'CYLAV'), ('Prunella', 'Q107121195', '1PRUNG'), ('Scandix', 'Q1439641', '1SCAG'), ('Aesculus parviflora', 'Q162440', 'AECPA'), ('Ribes rubrum', 'Q146661', 'RIBRU'), ('Betula alleghaniensis', 'Q1499241', 'BETAL'), ('Aesculus hippocastanum', 'Q28706656', 'AECHI'), ('Prunus spinosa', 'Q129018', 'PRNSN'), ('Betula pendula', 'Q156895', 'BETPE'), ('Rubus', 'Q602740', '1RUBG'), ('Prunus avium', 'Q165137', 'PRNAV'), ('Prunus domestica subsp. insititia', 'PRNDT'), ('Rosa', 'Q131378692', '1ROSG'), ('Sorbus aucuparia', 'Q146198', 'SOUAU'), ('Humulus lupulus', 'Q104212', 'HUMLU'), ('Salvia verbenaca', 'Q1313052', 'SALVB'), ('Galeopsis', 'Q61417598', '1GAEG'), ('Rubus canescens', 'Q3446529', 'RUBCE'), ('Prunus dulcis', 'Q39918', 'PRNDU'), ('Prunus persica', 'Q13189', 'PRNPS'), ('Betula papyrifera', 'Q76971', 'BETPA'), ('Campanula', 'Q55606511', '1CMPG'), ('Clematis vitalba', 'Q160100', 'CLVVT'), ('Prunus domestica', 'Q44120', 'PRNDO'), ('Prunus serrulata', 'Q165321', 'PRNSL')]","[('apple mosaic disease', 'Q11775187')]"
41,9,1,Didymella fabae,Q5274263,ASCOFA,[],"[('Q24573126', 'Q24573126')]"
42,9,1,Ascochyta hordei,Q4803963,ASCOHD,"[('Hordeum vulgare', 'Q11577', 'HORVX')]","[('Leaf spot',)]"
43,9,641,Asperisporium caricae,Q4807903,ASPRCA,"[('Carica papaya', 'Q34887', 'CIAPA')]","[('Leaf spot',), ('Black spot',)]"
44,9,642,Apple stem pitting virus,Q4781288,ASPV00,"[('Pyrus pyrifolia', 'Q838963', 'PYUPY'), ('Pyrus betulifolia', 'Q9281564', 'PYUBE'), ('Prunus tomentosa', 'Q627393', 'PRNTO'), ('Pyrus ussuriensis', 'Q13172138', 'PYUUS'), ('Sorbus discolor', 'Q10902404', 'SOUDI'), ('Malus toringo', 'Q52626848', 'MABTO'), ('Crataegus monogyna', 'Q161511', 'CSCMO'), ('Pyrus communis', 'Q146281', 'PYUCO'), ('Malus domestica', 'Q18674606', 'MABSD'), ('Eriobotrya japonica', 'Q41505', 'EIOJA'), ('Cydonia oblonga', 'Q43300', 'CYDOB'), ('Malus sylvestris', 'Q47161', 'MABSY')]","[('Q132126199', 'Q132126199'), ('Q132126194', 'Q132126194')]"
45,9,645,Kabatiella lini,Q6343943,AUREPL,"[('Linum usitatissimum', 'Q45108', 'LIUUT'), ('Gossypium', 'Q719312', '1GOSG')]","[('Q117081539', 'Q117081539')]"
46,8,647,Cherry leaf spot,Q10431598,BLUMJA,[],"[('Q11775269', 'Q11775269')]"
47,8,650,Bean mild mosaic virus,Q18976428,BMMV00,"[('Glycine max', 'Q11006', 'GLXMA'), ('Fabaceae', 'Q44448', '1LEGF')]","[('Bean mild mosaic',)]"
48,9,653,Beet necrotic yellow vein virus,Q4880168,BNYVV0,"[('Veronica hederifolia', 'VERHE'), ('Blitum capitatum', 'Q14568269', 'CHECA'), ('Tribulus terrestris', 'Q235889', 'TRBTE'), ('Cichorium intybus', 'Q2544599', 'CICIN'), ('Beta vulgaris', 'Q165191', 'BEAVX'), ('Solanum nigrum', 'Q146400', 'SOLNI'), ('Chenopodium vulvaria', 'Q2119407', 'CHEVU'), ('Matricaria chamomilla', 'Q28437', 'MATCH'), ('Xanthium strumarium', 'Q857159', 'XANST'), ('Amaranthus retroflexus', 'Q157663', 'AMARE'), ('Chenopodium quinoa', 'Q139925', 'CHEQU'), ('Persicaria maculosa', 'Q161717', 'POLPE'), ('Polygonum aviculare', 'Q242573', 'POLAV'), ('Portulaca oleracea', 'Q158015', 'POROL'), ('Spinacia oleracea', 'Q81464', 'SPQOL'), ('Gomphrena globosa', 'Q1200680', 'GOMGL'), ('Lipandra polysperma', 'Q17271940', 'CHEPO'), ('Sonchus asper', 'Q1065570', 'SONAS'), ('Heliotropium europaeum', 'Q164452', 'HEOEU'), ('Chenopodium album', 'Q158610', 'CHEAL'), ('Sonchus arvensis', 'Q239291', 'SONAR'), ('Datura stramonium', 'Q30959', 'DATST'), ('Cirsium arvense', 'Q341600', 'CIRAR'), ('Plantago major', 'Q157154', 'PLAMA')]","[('rhizomania', 'Q25457666')]"
49,8,654,Botrytis aclada,Q10433880,BOTRAC,"[('Allium', 'Q49391', '1ALLG')]","[('Neck rot',)]"
50,8,654,Botrytis fabae,Q10433893,BOTRFA,[],"[('chocolate spot disease', 'Q81080685')]"
51,8,655,Botryosphaeria dothidea,Q4948837,BOTSDO,"[('Malus', 'Q104819', '1MABG')]","[('white rot', 'Q355703')]"
52,8,655,Botryosphaeria quercuum,Q3915701,BOTSQU,"[('Mangifera indica', 'Q3919027', 'MNGIN')]","[('Dieback',)]"
53,8,654,Botrytis porri,,BOTTPO,"[('Allium', 'Q49391', '1ALLG')]","[('Botrytis rot of garlic',)]"
54,9,660,Blackcurrant reversion virus,Q18965433,BRAV00,"[('Ribes fasciculatum', 'Q1235415', 'RIBFA'), ('Ribes fragrans', 'Q4425197', 'RIBFR'), ('Ribes alpinum', 'Q149260', 'RIBAP'), ('Ribes', 'Q124519607', '1RIBG'), ('Ribes nigrum', 'Q146604', 'RIBNI'), ('Ribes aureum', 'Q149376', 'RIBAU'), ('Ribes spicatum', 'Q149485', 'RIBSP')]","[('blackcurrant reversion disease', 'Q13444904')]"
55,7,661,Bremia lactucae,Q621790,BREMLA,"[('Lactuca sativa', 'Q83193', 'LACSA'), ('Cineraria', 'Q2360058', 'SENCR')]","[('downy mildew', 'Q1394849')]"
56,9,665,Bean yellow mosaic virus,Q4876270,BYMV00,"[('Phaseolus vulgaris', 'Q42339', 'PHSVX'), ('Pisum sativum subsp. arvense', 'PIBSA'), ('Cynara scolymus', 'Q134609', 'CYUSC')]","[('Bean yellow mosaic virus infection in Lupinus', 'Q88271400'), ('bean yellow mosaic', 'Q93441836')]"
57,9,669,Laodelphax striatellus,Q10554179,CALGMA,"[('Zea mays', 'ZEAMX'), ('Triticum aestivum', 'Q161098', 'TRZAX'), ('Avena sativa', 'Q12104', 'AVESA'), ('Oryza sativa', 'Q161426', 'ORYSA')]","[('Q99336681', 'Q99336681')]"
58,9,671,Calonectria kyotensis,Q5023163,CALOKY,"[('Camellia sinensis', 'Q101815', 'CAHSI')]","[('Damping off', 'Q1500132')]"
59,8,673,Cenangium ferruginosum,Q2013727,CENAFE,[],"[('Cenangium canker', 'Q11722813')]"
60,9,676,Ceratocystis fagacearum,Q1991788,CERAFA,"[('Castanea sativa', 'Q22699', 'CSNSA'), ('Quercus palustris', 'Q161253', 'QUEPA'), ('Quercus lobata', 'Q1377986', 'QUELO'), ('Quercus dumosa', 'Q2710410', 'QUEDU'), ('Quercus coccinea', 'Q854714', 'QUECO'), ('Quercus alba', 'Q469555', 'QUEAL'), ('Quercus fusiformis', 'Q3009781', 'QUEFU'), ('Quercus laurifolia', 'Q4112143', 'QUELF'), ('Quercus texana', 'Q7271351', 'QUEST'), ('Castanea dentata', 'Q468698', 'CSNDE'), ('Quercus shumardii', 'Q4112184', 'QUESH'), ('Quercus velutina', 'Q1001011', 'QUEVE'), ('Quercus rubra', 'Q147525', 'QUERU'), ('Quercus chrysolepis', 'Q138446', 'QUECH'), ('Quercus agrifolia', 'Q514052', 'QUEAG'), ('Quercus stellata', 'Q2600501', 'QUESL'), ('Quercus macrocarpa', 'Q28706873', 'QUEMC'), ('Quercus phellos', 'Q783224', 'QUEPH'), ('Quercus petraea', 'Q119788797', 'QUEPE'), ('Quercus muehlenbergii', 'Q2611816', 'QUEMU'), ('Quercus robur', 'Q109642758', 'QUERO'), ('Quercus suber', 'Q156137', 'QUESU'), ('Castanea pumila', 'Q3662068', 'CSNPU'), ('Notholithocarpus densiflorus', 'Q17271024', 'LIADF'), ('Quercus wislizenii', 'QUEWI'), ('Quercus prinus', 'QUEPR'), ('Quercus ellipsoidalis', 'Q241698', 'QUEEL'), ('Chrysolepis sempervirens', 'Q15328842', 'CSOSE'), ('Castanea mollissima', 'Q699584', 'CSNMO'), ('Quercus falcata', 'Q1066116', 'QUEFC'), ('Castanea hybrids', 'CSNHY'), ('Quercus laevis', 'Q2586757', 'QUELA'), ('Quercus pubescens', 'Q55743156', 'QUEPU'), ('Quercus nigra', 'Q4112855', 'QUENI'), ('Quercus imbricaria', 'Q528713', 'QUEIM'), ('Quercus marilandica', 'Q845791', 'QUEMR'), ('Quercus virginiana', 'Q1758722', 'QUEVI'), ('Quercus engelmannii', 'Q3009480', 'QUEEG'), ('Quercus kelloggii', 'Q693392', 'QUEKE'), ('Quercus ilex', 'Q218155', 'QUEIL'), ('Quercus garryana', 'Q2029492', 'QUEGR')]","[('oak wilt', 'Q122875865')]"
61,9,677,Ceratocystis fimbriata,Q1609427,CERAFI,"[('Theobroma cacao', 'THOCA'), ('Camellia sinensis var. assamica', 'CAHAS'), ('Gmelina arborea', 'Q311345', 'GMEAR'), ('Cupressus sempervirens', 'Q147513', 'CVBSE'), ('Hevea brasiliensis', 'Q156538', 'HVEBR'), ('Lactuca sativa', 'Q83193', 'LACSA'), ('Dimocarpus longan', 'Q193449', 'DMCLO'), ('Ananas comosus', 'Q1493', 'ANHCO'), ('Actinidia chinensis', 'Q163522', 'ATICH'), ('Coffea', 'Q156354', '1COFG'), ('Ipomoea batatas', 'IPOBA'), ('Mangifera indica', 'Q3919027', 'MNGIN')]","[('Canker',), ('Black rot',), ('Wilt',)]"
62,9,677,Ceratocystis platani,Q10445905,CERAFP,"[('Platanus orientalis', 'PLTOR'), ('Platanus occidentalis', 'Q157739', 'PLTOC'), ('Platanus racemosa', 'Q164301', 'PLTRA'), ('Platanus x hispanica', 'PLTHY')]","[('canker stain of plane', 'Q12427214')]"
63,9,677,Ceratocystis huliohia,Q84504590,CERAHU,[],"[('Rapid ʻŌhiʻa Death', 'Q84504375')]"
64,9,677,Ceratocystis lukuohia,Q84504694,CERALU,[],"[('Rapid ʻŌhiʻa Death', 'Q84504375')]"
65,9,678,Ceratocystis paradoxa,Q5063767,CERAPA,"[('Sugarcane', 'Q3391243', 'SACOF')]","[('Pineapple disease',), ('pineapple disease of sugarcane', 'Q15951731')]"
66,9,682,Ophiostoma himal-ulmi,Q10610698,CERAUL,"[('Ulmus', 'Q131113', '1ULMG'), ('Ulmus americana', 'Q469382', 'ULMAM'), ('Ulmus', 'Q95921245', '1ULMG')]","[('Dutch elm disease', 'Q845598')]"
67,9,3,Cercospora apii,Q5063975,CERCAP,"[('Apium graveolens', 'Q28298', 'APUGV')]","[('early blight', 'Q14789614')]"
68,9,3,Cercospora beticola,Q2070817,CERCBE,"[('Spinacia oleracea', 'Q81464', 'SPQOL'), ('Beta vulgaris', 'Q165191', 'BEAVX')]","[('Q25400406', 'Q25400406'), ('Cercospora leaf spot', 'Q25457674')]"
69,9,3,Cercospora coffeicola,,CERCCO,"[('Coffea', 'Q156354', '1COFG')]","[('Brown eye spot',)]"
70,9,3,Cercospora gerberae,Q5063992,CERCGE,"[('Osteospermum', 'Q942384', '1OSPG')]","[('Cercospora leaf spot', 'Q25457674')]"
71,9,3,Cercospora longipes,Q5064002,CERCLO,"[('Sugarcane', 'Q3391243', 'SACOF')]","[('Brown spot',)]"
72,9,3,Cercospora nicotianae,Q5064013,CERCNI,"[('Nicotiana tabacum', 'Q181095', 'NIOTA')]","[('Barn spot',)]"
73,9,3,Cercospora janseana,,CERCOR,"[('Oryza sativa', 'Q161426', 'ORYSA')]","[('Narrow brown leaf spot',)]"
74,9,3,Cercospora zebrina,Q5064032,CERCZE,"[('Trifolium pratense', 'Q156635', 'TRFPR')]","[('Summer black stem',)]"
75,9,3,Cercospora zeae-maydis,Q20722432,CERCZM,[],"[('corn grey leaf spot', 'Q882181')]"
76,9,3,Cercospora zeina,Q107560024,CERCZN,"[('Zea mays', 'Q11575', 'ZEAMX')]","[('Gray leaf spot',)]"
77,9,683,Pseudocercospora theae,Q7254592,CERSTH,"[('Camellia sinensis', 'Q101815', 'CAHSI')]","[(""Bird's eye spot"",)]"
78,8,685,Hymenoscyphus pseudoalbidus,Q1394863,CHAAFR,"[('Phillyrea latifolia', 'Q784070', 'PLRLA'), ('Fraxinus sogdiana', 'Q1024066', 'FRXPO'), ('Fraxinus latifolia', 'Q1581524', 'FRXLA'), ('Fraxinus nigra', 'Q1790101', 'FRXNI'), ('Fraxinus quadrangulata', 'Q882296', 'FRXQU'), ('Fraxinus mandshurica', 'FRXMA'), ('Phillyrea angustifolia', 'Q1891342', 'PLRAN'), ('Fraxinus chinensis subsp. rhynchophylla', 'Q24877905', 'FRXRH'), ('Fraxinus pennsylvanica', 'Q161164', 'FRXPE'), ('Chionanthus virginicus', 'Q140341', 'CIOVI'), ('Fraxinus ornus', 'FRXOR'), ('Fraxinus americana', 'Q1193369', 'FRXAM'), ('Fraxinus bungeana', 'Q923901', 'FRXBU'), ('Fraxinus excelsior', 'Q156907', 'FRXEX'), ('Fraxinus angustifolia', 'Q518949', 'FRXAN')]","[('Ash dieback', 'Q12856902')]"
79,8,687,Chrysomyxa abietis,Q10451881,CHMYAB,"[('Abies alba', 'Q146992', 'ABIAL'), ('Abies', 'Q25350', '1ABIG')]","[('Q111742617', 'Q111742617'), ('Spruce needle rust', 'Q12981943')]"
80,10,693,Citrus necrotic spot virus,,CINSV0,"[('Citrus', 'Q81513', '1CIDG'), ('Citrus x aurantium var. paradisi', 'CIDPA'), ('Citrus x aurantium var. sinensis', 'CIDSI'), ('Citrus x aurantium', 'CIDAU'), ('Citrus x aurantium var. tangerina', 'CIDTG')]","[('Leprosis',)]"
81,9,696,Cladosporium cucumerinum,Q5124960,CLADCU,[],"[('gummosis of cucumber', 'Q112961460')]"
82,9,698,Claviceps africana,Q4146019,CLAVAF,"[('Sorghum', 'Q12111', 'SORVU')]","[('Ergot',)]"
83,9,698,Claviceps fusiformis,Q3837934,CLAVFU,"[('Pennisetum glaucum', 'Q654332', 'PESGL')]","[('Ergot',)]"
84,9,698,Claviceps gigantea,Q10454856,CLAVGI,"[('Zea mays', 'ZEAMX'), ('Zea mays', 'Q11575', 'ZEAMX')]","[('Ergot',)]"
85,,,Claviceps microcephala,,CLAVMI,"[('Triticum durum', 'Q618324', 'TRZDU')]","[('Ergot',)]"
86,9,698,Claviceps purpurea,Q217227,CLAVPU,"[('Triticum durum', 'Q618324', 'TRZDU'), ('Avena sativa', 'Q12104', 'AVESA'), ('Secale cereale', 'Q12099', 'SECCE'), ('Hordeum vulgare', 'Q11577', 'HORVX'), ('Triticum', 'Q12106', '1TRZG')]","[('Ergot',)]"
87,9,660,Cherry leaf roll virus,Q5092516,CLRV00,"[('Rubus idaeus', 'Q12252383', 'RUBID'), ('Euonymus europaeus', 'Q161379', 'EUOEU'), ('Malus domestica', 'Q18674606', 'MABSD'), ('Ligustrum vulgare', 'Q1848856', 'LIGVU'), ('Vitis vinifera', 'Q30046', 'VITVI'), ('Ptelea trifoliata', 'Q1326200', 'PTATR'), ('Ulmus americana', 'Q469382', 'ULMAM'), ('Vaccinium darrowii', 'Q7907961', 'VACDA'), ('Ribes rubrum', 'Q146661', 'RIBRU'), ('Betula pendula', 'Q156895', 'BETPE'), ('Syringa vulgaris', 'Q6565319', 'SYRVU'), ('Prunus avium', 'Q165137', 'PRNAV'), ('Olea europaea', 'Q52512080', 'OLVEU'), ('Sorbus aucuparia', 'Q146198', 'SOUAU'), ('Carpinus betulus', 'Q55743395', 'CIPBE'), ('Rubus fruticosus', 'Q13541716', 'RUBFR'), ('Fraxinus excelsior', 'Q156907', 'FRXEX'), ('Juglans regia', 'IUGRE'), ('Frangula alnus', 'Q146136', 'RHAFR'), ('Sambucus nigra', 'Q22701', 'SAMNI'), ('Cornus florida', 'Q887221', 'CRWFL'), ('Fagus sylvatica', 'Q55743444', 'FAUSY')]","[('Q11872117', 'Q11872117')]"
88,9,699,Cochliobolus heterostrophus,Q5139367,COCHHE,"[('Geranium', 'Q157211', '1GERG'), ('Zea mays', 'Q11575', 'ZEAMX')]","[('Leaf spot',), ('Southern corn leaf blight', 'Q125955073')]"
89,9,700,Curvularia lunata,,COCHLU,"[('Sugarcane', 'Q3391243', 'SACOF'), ('Mangifera indica', 'Q3919027', 'MNGIN')]","[('Leaf spot',), ('Seedling blight', 'Q98782918')]"
90,9,699,Bipolaris oryzae,,COCHMI,"[('Oryza sativa', 'Q161426', 'ORYSA')]","[('Brown spot',)]"
91,9,699,Cochliobolus sativus,Q5139370,COCHSA,"[('Zizania palustris', 'Q11142858', 'ZIZPA'), ('Triticum durum', 'Q618324', 'TRZDU'), ('Avena sativa', 'Q12104', 'AVESA'), ('Secale cereale', 'Q12099', 'SECCE'), ('Hordeum vulgare', 'Q11577', 'HORVX')]","[('Seedling blight', 'Q98782918'), ('Spot blotch', 'Q7580044'), ('Root rot', 'Q1442077')]"
92,9,699,Bipolaris setariae,,COCHSE,"[('Geranium', 'Q157211', '1GERG')]","[('Leaf spot',)]"
93,9,699,Bipolaris victoriae,,COCHVI,"[('Avena sativa', 'Q12104', 'AVESA')]","[('Victoria blight',)]"
94,,,Colletotrichum capsici,Q5147071,COLLCA,"[('Poinsettia', 'Q15711519', 'EPHPU'), ()]","[('Anthracnose',)]"
95,9,703,Colletotrichum coccodes,Q1310150,COLLCC,"[('Allium', 'Q49391', '1ALLG'), ('Cannabis sativa', 'Q26726', 'CNISA'), ('Solanum tuberosum', 'Q10998', 'SOLTU')]","[('Anthracnose',), ('black dot', 'Q1109351')]"
96,9,703,Colletotrichum cereale,Q5147069,COLLCE,"[('Triticum durum', 'Q618324', 'TRZDU')]","[('Anthracnose',)]"
97,9,703,Colletotrichum circinans,Q10457039,COLLCI,"[('Allium', 'Q49391', '1ALLG')]","[('Smudge',)]"
98,9,703,Colletotrichum dematium,Q5147075,COLLDE,"[('Poinsettia', 'Q15711519', 'EPHPU'), ('Spinacia oleracea', 'Q81464', 'SPQOL'), ('Medicago sativa', 'Q156106', 'MEDSA')]","[('Anthracnose',)]"
99,9,703,Colletotrichum destructivum,Q5147081,COLLDT,"[('Nicotiana tabacum', 'Q181095', 'NIOTA'), ('Medicago sativa', 'Q156106', 'MEDSA')]","[('Anthracnose',)]"
100,9,703,Colletotrichum truncatum,Q5147100,COLLDU,"[('Lens culinaris', 'Q131226', 'LENCU'), ('Cajanus cajan', 'Q632559', 'CAJCA'), ('Medicago sativa', 'Q156106', 'MEDSA')]","[('Anthracnose',)]"
101,9,703,Colletotrichum fragariae,Q5147078,COLLFR,[()],"[('Anthracnose',)]"
102,9,703,Colletotrichum graminicola,Q80936789,COLLGR,"[('Secale cereale', 'Q12099', 'SECCE'), ('Hordeum vulgare', 'Q11577', 'HORVX'), ('Avena sativa', 'Q12104', 'AVESA')]","[('Anthracnose Leaf Blight', 'Q2853014'), ('Anthracnose',)]"
103,9,703,Colletotrichum higginsianum,Q5147082,COLLHG,"[('Brassicaceae', 'Q156888', '1CRUF')]","[('Anthracnose',)]"
104,9,703,Colletotrichum kahawae,Q5147086,COLLKA,"[('Coffea', 'Q156354', '1COFG')]","[('Coffee berry disease',)]"
