Category,Disease,Disease fullname,Pathogen,Afflict,EPPO code
FUNGAL AND OOMYCETE DISEASES,Ergot,ergot of maize,Claviceps gigantea,Corn (syn. Maize),CLAVGI
FUNGAL AND FUNGAL-LIKE ORGANISM DISEASES,Ergot,ergot of pearl millet,Claviceps microcephala,Wheat,CLAVMI
FUNGAL DISEASES,Ergot,ergot of cereals,Claviceps purpurea,Barley,CLAVPU
FUNGAL DISEASES,Ergot,ergot of cereals,Claviceps purpurea,Oats,CLAVPU
FUNGAL DISEASES,Ergot,ergot of cereals,Claviceps purpurea,Rye,CLAVPU
FUNGAL AND FUNGAL-LIKE ORGANISM DISEASES,Ergot,ergot of cereals,Claviceps purpurea,Wheat,CLAVPU
FUNGAL DISEASES,Ergot,ergot of rye,Claviceps purpurea,Barley,CLAVPU
FUNGAL DISEASES,Ergot,ergot of rye,Claviceps purpurea,Oats,CLAVPU
FUNGAL DISEASES,Ergot,ergot of rye,Claviceps purpurea,Rye,CLAVPU
FUNGAL AND FUNGAL-LIKE ORGANISM DISEASES,Ergot,ergot of rye,Claviceps purpurea,Wheat,CLAVPU
FUNGAL DISEASES,Leaf spot,leaf spot of maize,Bipolaris maydis,Geranium,COCHHE
FUNGAL DISEASES,Leaf spot,leaf spot of maize,Curvularia lunata,Mango,COCHLU
FUNGAL DISEASES,Seedling blight,seedling blight of sugarcane,Curvularia lunata,Sugarcane,COCHLU
FUNGAL AND OOMYCETE DISEASES,Brown spot,brown spot of rice,Bipolaris oryzae,Rice,COCHMI
FUNGAL DISEASES,Root rot,root rot of cereals,Bipolaris sorokiniana,Oats,COCHSA
FUNGAL DISEASES,Seedling blight,seedling blight of cereals,Bipolaris sorokiniana,Oats,COCHSA
FUNGAL DISEASES,Spot blotch,spot blotch of barley,Bipolaris sorokiniana,Barley,COCHSA
VIRUS DISEASES,Spot blotch,spot blotch of barley,Bipolaris sorokiniana,Cultivated Wild Rice,COCHSA
FUNGAL DISEASES,Spot blotch,spot blotch of barley,Bipolaris sorokiniana,Rye,COCHSA
FUNGAL AND FUNGAL-LIKE ORGANISM DISEASES,Spot blotch,spot blotch of barley,Bipolaris sorokiniana,Wheat,COCHSA
FUNGAL DISEASES,Spot blotch,spot blotch of wheat,Bipolaris sorokiniana,Barley,COCHSA
VIRUS DISEASES,Spot blotch,spot blotch of wheat,Bipolaris sorokiniana,Cultivated Wild Rice,COCHSA
FUNGAL DISEASES,Spot blotch,spot blotch of wheat,Bipolaris sorokiniana,Rye,COCHSA
FUNGAL AND FUNGAL-LIKE ORGANISM DISEASES,Spot blotch,spot blotch of wheat,Bipolaris sorokiniana,Wheat,COCHSA
FUNGAL DISEASES,Leaf spot,leaf spot of millet,Bipolaris setariae,Geranium,COCHSE
FUNGAL DISEASES,Victoria blight,victoria blight of oat,Bipolaris victoriae,Oats,COCHVI
VIRUS DISEASES,Anthracnose,anthracnose of capsicum,Colletotrichum capsici,Foliage Plants (House Plants),COLLCA
BACTERIAL DISEASES,Anthracnose,anthracnose of capsicum,Colletotrichum capsici,Poinsettia,COLLCA
FUNGAL DISEASES,Anthracnose,anthracnose of potato,Colletotrichum coccodes,Hemp,COLLCC
FUNGAL AND OOMYCETE DISEASES,Anthracnose,anthracnose of potato,Colletotrichum coccodes,Onion and Garlic,COLLCC
FUNGAL DISEASES,Anthracnose,anthracnose of strawberry,Colletotrichum coccodes,Hemp,COLLCC
FUNGAL AND OOMYCETE DISEASES,Anthracnose,anthracnose of strawberry,Colletotrichum coccodes,Onion and Garlic,COLLCC
FUNGAL DISEASES,Anthracnose,anthracnose of tomato,Colletotrichum coccodes,Hemp,COLLCC
FUNGAL AND OOMYCETE DISEASES,Anthracnose,anthracnose of tomato,Colletotrichum coccodes,Onion and Garlic,COLLCC
FUNGAL DISEASES,Black dot,black dot disease of potato,Colletotrichum coccodes,Potato,COLLCC
FUNGAL AND OOMYCETE DISEASES,Smudge,smudge of onion,Colletotrichum circinans,Onion and Garlic,COLLCI
FUNGI,Anthracnose,anthracnose of capsicum,Colletotrichum dematium,Alfalfa,COLLDE
BACTERIAL DISEASES,Anthracnose,anthracnose of capsicum,Colletotrichum dematium,Poinsettia,COLLDE
FUNGAL DISEASES,Anthracnose,anthracnose of capsicum,Colletotrichum dematium,Spinach,COLLDE
FUNGI,Anthracnose,anthracnose of salvia,Colletotrichum dematium,Alfalfa,COLLDE
BACTERIAL DISEASES,Anthracnose,anthracnose of salvia,Colletotrichum dematium,Poinsettia,COLLDE
FUNGAL DISEASES,Anthracnose,anthracnose of salvia,Colletotrichum dematium,Spinach,COLLDE
FUNGI,Anthracnose,anthracnose of lucerne,Colletotrichum destructivum,Alfalfa,COLLDT
FUNGAL DISEASES,Anthracnose,anthracnose of lucerne,Colletotrichum destructivum,Tobacco,COLLDT
FUNGI,Anthracnose,anthracnose of tobacco,Colletotrichum destructivum,Alfalfa,COLLDT
FUNGAL DISEASES,Anthracnose,anthracnose of tobacco,Colletotrichum destructivum,Tobacco,COLLDT
FUNGI,Anthracnose,anthracnose of lucerne,Colletotrichum truncatum,Alfalfa,COLLDU
VIRAL & VIROID DISEASES,Anthracnose,anthracnose of lucerne,Colletotrichum truncatum,Lentil,COLLDU
VIRAL AND VIROID DISEASES,Anthracnose,anthracnose of lucerne,Colletotrichum truncatum,Pigeonpea,COLLDU
FUNGI,Anthracnose,stem anthracnose of Lima bean,Colletotrichum truncatum,Alfalfa,COLLDU
VIRAL & VIROID DISEASES,Anthracnose,stem anthracnose of Lima bean,Colletotrichum truncatum,Lentil,COLLDU
VIRAL AND VIROID DISEASES,Anthracnose,stem anthracnose of Lima bean,Colletotrichum truncatum,Pigeonpea,COLLDU
FUNGI,Anthracnose,stem anthracnose of soybean,Colletotrichum truncatum,Alfalfa,COLLDU
VIRAL & VIROID DISEASES,Anthracnose,stem anthracnose of soybean,Colletotrichum truncatum,Lentil,COLLDU
VIRAL AND VIROID DISEASES,Anthracnose,stem anthracnose of soybean,Colletotrichum truncatum,Pigeonpea,COLLDU
FUNGAL DISEASES,Anthracnose,anthracnose of strawberry,Colletotrichum fragariae,Bedding Plants,COLLFR
FUNGAL DISEASES,Anthracnose,anthracnose of cereals,Colletotrichum graminicola,Barley,COLLGR
FUNGAL DISEASES,Anthracnose,anthracnose of cereals,Colletotrichum graminicola,Oats,COLLGR
FUNGAL DISEASES,Anthracnose,anthracnose of cereals,Colletotrichum graminicola,Rye,COLLGR
FUNGAL DISEASES,Anthracnose,anthracnose of maize,Colletotrichum graminicola,Barley,COLLGR
FUNGAL DISEASES,Anthracnose,anthracnose of maize,Colletotrichum graminicola,Oats,COLLGR
FUNGAL DISEASES,Anthracnose,anthracnose of maize,Colletotrichum graminicola,Rye,COLLGR
FUNGAL DISEASES,Anthracnose,anthracnose of sorghum,Colletotrichum graminicola,Barley,COLLGR
