Category,Disease,Pathogen,Afflict
VIRAL AND VIROID DISEASES,Impatiens necrotic spot,"genusTospovirus,Impatiens necrotic spot virus(INSV)",Butterfly Flower
VIRAL AND VIROID DISEASES,Tomato spotted wilt,"genusTospovirus,Tomato spotted wilt virus(TSWV)",Butterfly Flower
PHYTOPLASMAL DISEASES,Aster yellows,Aster yellows phytoplasma,Butterfly Flower
PHYTOPLASMAL DISEASES,Aster yellows,Aster yellows phytoplasma,Cacao
BACTERIAL DISEASES,Crown gall,"Agrobacterium tumefaciens(Smith & Townsend) Conn.
(artificial inoculations)",Cacao
BACTERIAL DISEASES,Stripe,Erwinia caratovora(L. R. Jones) Bergy et al.,Cacao
FUNGAL DISEASES,Anthracnose,Glomerella cingulata(Stoneman) Spauld. & Shrenk.,Cacao
FUNGAL DISEASES,Armillaria root rot,Armillaria mellea(Vahl: Fr.) Karsten,Cacao
FUNGAL DISEASES,Black pod,"Phytophthora capsiciLeonian
P. citrophthora(R. E. Sm. & E. H. Sm.) Leonian
P. heveaeA. Thompson
P. megakaryaBrasier & Griffin
P. palmivora(E. J. Butler) E. J. Butler",Cacao
FUNGAL DISEASES,Black root,"Rosellinia bunodes(Berk. & Br.) Sacc.
R. pepoPat.",Cacao
FUNGAL DISEASES,Brown root,Phellinus noxius(Corner) G. H. Cunn.,Cacao
FUNGAL DISEASES,Canker,"Phytophthora citrophthora(R. E. Sm. & E. H. Sm.) Leonian
P. palmivora(E. J. Butler) E. J. Butler
Ceratocytis fimbriataEllis & Halst.",Cacao
FUNGAL DISEASES,Ceratocystis wilt,"Ceratocystis fimbriataEllis & Halst.
C. moniliformis(Hedgc.) C. Moreau
C. paradoxa(Dade) C. Moreau",Cacao
FUNGAL DISEASES,Collar crack,"Armillariella mellea(Vahl: Fr.) P. Kumm.
A. tabescens(Scop.) Dennis, Horton & Hora",Cacao
FUNGAL DISEASES,Collar rot,Ustilina deusta(Hoffm.: Fr.) Lind,Cacao
FUNGAL DISEASES,Crinipellis pod rot,Crinipellis perniciosa(Stahel) Singer,Cacao
FUNGAL DISEASES,Cushion gall (green-point gall),"Nectria rigidiusculaBerk. & Broome
(Fusarium decemcellulareC. Brick. – syn)",Cacao
FUNGAL DISEASES,Dieback,"Physiological, stress induced, more than 80 fungal species associated with this syndrome",Cacao
FUNGAL DISEASES,Horse hair blight,Crinipellis sarmentosa(Berk.) Singer,Cacao
FUNGAL DISEASES,Lasiodiplodia pod rot,Lasiodiplodia theobromae(Pat.) Griffon & Maubl. (Botryodiplodia theobromaePat. – syn.),Cacao
FUNGAL DISEASES,Leaf anthracnose,Colletotrichumspp.,Cacao
FUNGAL DISEASES,Macrophoma pod rot,Macrophomaspp.,Cacao
FUNGAL DISEASES,Moniliophthora pod rot,"Moniliophthora roreri(Ciferri & Parodi) Evans, et al.",Cacao
FUNGAL DISEASES,Phytophthora pod rot,"Phytophthora capsiciLeonian
P. citrophthora(R. E. Sm. & E. H. Sm.) Leonian
P. heveaeA. Thompson
P. megakaryaBrasier & Griffin
P. palmivora(E. J. Butler) E. J. Butler",Cacao
FUNGAL DISEASES,Pink disease,Erythricium salmonicolor(Berk. & Broome) Burdsall,Cacao
FUNGAL DISEASES,Sudden death,"Verticillium dahliaeKleb.
Mycoleptodiscus terrestris(J. W. Gerdemann) Ostazeski",Cacao
FUNGAL DISEASES,Thread blight,Ceratobasidium koleroga(Cooke) Höhn.,Cacao
FUNGAL DISEASES,Trachysphaera pot rot (mealy pod),Trachysphaera fructigenaTabor & Bunting,Cacao
FUNGAL DISEASES,Vascular streak dieback,Oncobasidium theobromaeTalbot & Keane,Cacao
FUNGAL DISEASES,Violet root rot,"Nectria mauritiicola(Henn.) Seifert & Samuels
(Sphaerostilbe repensBerk. M. A. Curtis syn)",Cacao
FUNGAL DISEASES,Wet root rot,Ganoderma philippii(Bres. & Henn.:Sacc.) Bres.,Cacao
FUNGAL DISEASES,White root rot,"Rigidiporus microporus(SW,: Fr.) Overeem
(R. lignosus(Klotzsch) Imazeki syn.)",Cacao
FUNGAL DISEASES,White thread,Maramiellus scandems(Massee) Dennis & Reid,Cacao
FUNGAL DISEASES,Witches’ broom,Crinipellis perniciosa(Stahel) Singer,Cacao
MISCELLANEOUS DISEASES,Algal disease,Cephaleuros virescensKunze,Cacao
MISCELLANEOUS DISEASES,Cherelle wilt,"Physiological, no specific pathogen involved",Cacao
MISCELLANEOUS DISEASES,Awl nematode,Dolichodorusspp.,Cacao
MISCELLANEOUS DISEASES,Cyst nematode,Heteroderaspp.,Cacao
MISCELLANEOUS DISEASES,Dagger nematode,Xiphinemaspp.,Cacao
MISCELLANEOUS DISEASES,Lesion nematode,Pratylenchusspp.,Cacao
MISCELLANEOUS DISEASES,Reniform nematode,Rotylenchulusspp.,Cacao
MISCELLANEOUS DISEASES,Ring nematode,Hoplolaimusspp.,Cacao
MISCELLANEOUS DISEASES,Root-knot nematode,Meloidogynespp.,Cacao
MISCELLANEOUS DISEASES,Spiral nematode,Helicotylencusspp.,Cacao
MISCELLANEOUS DISEASES,Stubby root nematode,Trichodorusspp.,Cacao
PARASITIC HIGHER PLANTS,Mistletoe,"Denrophthoraspp.
Loranthusspp.
Oryctanthusspp.
Phoradendronspp.
Phthirusaspp.
Tapinanthusspp.",Cacao
VIRUS & VIROID DISEASES,Cacao swollen shoot,Cacao swollen-shoot badnovirus (CSSV),Cacao
VIRUS & VIROID DISEASES,Cacao yellow mosaic,Cacao yellow mosaic tymovirus (CYMV),Cacao
VIRUS & VIROID DISEASES,Cacao necrosis,Cacao necrosis nepovirus (CNV),Cacao
VIRUS & VIROID DISEASES,Cacao necrosis,Cacao necrosis nepovirus (CNV),Caneberries
BACTERIAL DISEASES,Crown and cane gall,"Agrobacterium tumefaciens(Smith and Townsend 1907)Conn 1942
A. rubi(Hildebrand 1940) Starr and Weiss 1943",Caneberries
BACTERIAL DISEASES,Fire blight,Erwinia amylovora(Burrill 1882) Winslow et al. 1920 emend. Hauben et al. 1998,Caneberries
BACTERIAL DISEASES,Hairy root,Agrobacterium rhizogenes(Riker et al. 1930) Conn 1942 (rare),Caneberries
BACTERIAL DISEASES,Leafy gall,"Rhodococcus fascians(Tilford 1936) Goodfellow 1984
=Corynebacterium fascians(Tilford 1936) Dowson 1942",Caneberries
BACTERIAL DISEASES,Pseudomonas blight,Pseudomonas syringaevan Hall 1902,Caneberries
FUNGAL DISEASES,Anthracnose,"Elsinoe veneta(Burkholder) Jenk.
Sphaceloma necator(Ellis & Everh.) Jenk. & Shear
[anamorph]",Caneberries
FUNGAL DISEASES,Armillaria root rot = shoestring root rot,"Armillaria mellea(Vahl:Fr.) P. Kumm.
Rhizomorpha subcorticalisPers. [anamorph]",Caneberries
FUNGAL DISEASES,Ascospora dieback,"Clethridium corticola(Fuckel) Shoemaker & E. Muller
=Discostroma corticola(Fuckel) I. Brockmann
=Ascospora ruborum(Oudem.) Zeller)
Seimatosporium lichenicola(Corda) Shoemaker &E. Müller [anamorph]",Caneberries
FUNGAL DISEASES,Blackberry rust*,Phragmidium violaceum(C.F. Schultz) G. Wint.,Caneberries
FUNGAL DISEASES,Black rot,Phyllosticta carpogena(Shear) van der Aa,Caneberries
FUNGAL DISEASES,Blotch,"Mycosphaerella confusaF.A. Wolf
Pseudocercospora rubi(Sacc.) Deighton [anamorph]
=Cercospora rubiG. Wint.)",Caneberries
FUNGAL DISEASES,"Blotch, purple","Septocyta ruborum(Lib.) Petr.
=Rhabdospora ramealis(Roberge ex Desmaz.) Sacc.",Caneberries
FUNGAL DISEASES,Botryosphaeria cane canker (blackberry),"Botryosphaeria dothidea(Moug.:Fr.) Ces. & De Not.
Fusicoccum aesculiCorda [anamorph]",Caneberries
FUNGAL DISEASES,Botrytis fruit rot and blossom blight = gray mold,"Botrytis cinereaPers.:F
Botryotinia fuckeliana(de Bary) Whetzel [teleomorph]",Caneberries
FUNGAL DISEASES,Boysenberry decline*,Cercosporella rubi(G. Wint.) Plakidas (New Zealand),Caneberries
FUNGAL DISEASES,Cane and leaf rust,Kuehneola uredinis(Link) Arth.,Caneberries
FUNGAL DISEASES,Cane blight,"Diapleella coniothyrium(Fuckel) Barr
=Leptosphaeria coniothyrium(Fuckel) Sacc.
Coniothyrium fuckeliiSacc. [anamorph]",Caneberries
FUNGAL DISEASES,Cane Botrytis,"Botrytis cinereaPers.:Fr.
Botryotinia fuckeliana(de Bary) Whetzel [teleomorph]",Caneberries
FUNGAL DISEASES,Downy mildew = dryberry,"Peronospora sparsaBerk. (New Zealand)
=P. rubiRabenh.",Caneberries
FUNGAL DISEASES,Dryberry disease (loganberry),"Rhizoctonia rubiMcKeen
(plus dryberry mite, see under miscellaneous disorders)",Caneberries
FUNGAL DISEASES,"Fruit rots, minor","Alternariaspp.
Cladosporiumspp.
Colletotrichum gloeosporioides(Penz.) Penz. & Sacc.
Colletotrichum acutatumSimmonds
Penicilliumspp.",Caneberries
FUNGAL DISEASES,Gnomonia cane canker,Gnomonia rubi(Rehm),Caneberries
FUNGAL DISEASES,Late leaf rust,"Pucciniastrum americanum(Farl.) Arth.
Pucciniastrum arcticumTranszschel",Caneberries
FUNGAL DISEASES,Leaf spots,"Discohainesia oenotherae(Cooke & Ellis) Nannf.
Hainesia lythri(Desmaz.) Hohn. [anamorph]
Mycosphaerellaspp.
Phyllostictaspp.",Caneberries
FUNGAL DISEASES,Nectria canker (raspberry),"Nectria mammoideaW. Phillips & Plowr. var.rubi(Osterw.) Weese (Europe)
Cylindrocarpon ianthothelevar.ianthotheleWollenweb.
[anamorph]",Caneberries
FUNGAL DISEASES,Orange rust,"Arthuriomyces peckianus(E. Howe) Cummins &Y. Hiratsuka (long-cycled rust)
Gymnoconia nitens(Schwein.) F. Kern & H.W. Thurston
(short-cycled rust)",Caneberries
FUNGAL DISEASES,Phytophthora root rot,"Phytophthoraspp.
P. fragariaeC.J. Hickman var. rubi
P. megaspermaWaterhouse
P. cactorum(Lebert & Cohn) J. Schröt.
P. citricolaSawada
P. cryptogeaPethybr. & Lafferty
P. drechsleriTucker
P. cambivora(Petri) Buisman
P. cinnamomiRands
P. erythrosepticaPethybr",Caneberries
FUNGAL DISEASES,Post harvest soft rot = leak disease,"Rhizopus stolonifer(Ehrenb.:Fr.) Vuill.
=Rhizopus nigricansEhrenb.
Mucor piriformisE. Fisch. (in Europe)",Caneberries
FUNGAL DISEASES,Powdery mildew,Sphaerotheca macularis(Wallr.:Fr.) Lind,Caneberries
FUNGAL DISEASES,Raspberry leaf spot,"Sphaerulina rubiDemaree & M.S. Wilcox
Septoria darrowiiZeller [anamorph]
=Cylindrosporium rubiEllis & Morg.)",Caneberries
FUNGAL DISEASES,Root rot,"Collybia dryophila(Bull.:Fr.) P. Kumm
Cylindrocarpon destructans(Zinssmeister) Scholten.
Fusariumspp.
Helicobasidium brebissonii(Desmaz.) Donk
Rhizoctonia crocorum(Pers.:Fr.) DC.) [anamorph]
Phymatotrichopsis omnivora(Duggar) Hennebert
=Phymatotrichum omnivorumDuggar
Pythiumspp.
Rhizoctoniaspp.",Caneberries
FUNGAL DISEASES,Rosette = double blossom,Cercosporella rubi(G. Wint.) Plakidas,Caneberries
FUNGAL DISEASES,Septoria leaf spot (blackberry) = cane and leaf spot,"Septoria rubiWestend.
Mycosphaerella rubiRoark [teleomorph]",Caneberries
FUNGAL DISEASES,Silver leaf*,"Chondrostereum purpureum(Pers.:Fr.) Pouzar (UK &New Zealand)
=Stereum purpureumPers.:Fr.",Caneberries
FUNGAL DISEASES,Spur blight,"Didymella applanata(Niessl) Sacc.
Phomasp. [anamorph]",Caneberries
FUNGAL DISEASES,Stamen blight,Hapalosphaeria deformans(Syd.) Syd.,Caneberries
FUNGAL DISEASES,Sydowiella cane canker,"Sydowiella depressula(P. Karst.) Barr (Europe and Alaska)
=Gnomonia depressulaP. Karst",Caneberries
FUNGAL DISEASES,Yellow rust,"Phragmidium rubi-idaei(DC.) P. Karst.
=Phragmidium imitansArth.",Caneberries
FUNGAL DISEASES,Verticillium wilt,"Verticillium albo-atrumReinke & Berthier
Verticillium dahliaeKleb.",Caneberries
FUNGAL DISEASES,White root rot,Varariasp.,Caneberries
"NEMATODES, PARASITIC","Dagger, American nematode",Xiphinema americanumCobb,Caneberries
"NEMATODES, PARASITIC",Dagger nematode,"Xiphinema bakeriWilliams
X. rivesiDalmasso",Caneberries
"NEMATODES, PARASITIC",Root-lesion nematode,"Pratylenchusspp.
P. penetrans(Cobb) Filipjev & Schuurmans, Steckhoven",Caneberries
"NEMATODES, PARASITIC",Needle nematode,Longidorusspp.,Caneberries
VIRAL DISEASES and VIRUSLIKE AGENTS,Mosaic or ringspot,"genusIlarvirus, Apple mosaic virus(ApMV)",Caneberries
VIRAL DISEASES and VIRUSLIKE AGENTS,Tobacco ringspot in Rubus,"genusNepovirus, Tobacco ringspot virus(TRSV)",Caneberries
VIRAL DISEASES and VIRUSLIKE AGENTS,Black raspberry streak,A graft-transmissible agent(s) of unknown identity,Caneberries
VIRAL DISEASES and VIRUSLIKE AGENTS,Blackberry calico,"genusCarlavirus, Blackberry calico virus(BCV) in North
America.
genusPotexvirus,Wineberry latent virus(WLV) uponinoculation in the U.K.",Caneberries
VIRAL DISEASES and VIRUSLIKE AGENTS,Bramble yellow mosaic*,"genusPotyvirus, Bramble yellow mosaic virus(BrmYMV)",Caneberries
VIRAL DISEASES and VIRUSLIKE AGENTS,European decline,"genusNepovirus, Cherry leaf roll virus(CLRV)",Caneberries
VIRAL DISEASES and VIRUSLIKE AGENTS,Green blotch,"genusCucumovirus, Cucumber mosaic virus(CMV)",Caneberries
VIRAL DISEASES and VIRUSLIKE AGENTS,"Latent virus, North America","genusIlarvirus, Tobacco streak virus(Rubus strain)(TSV-R)",Caneberries
VIRAL DISEASES and VIRUSLIKE AGENTS,"Latent virus, Europe",genusPotexvirus Wineberry latent virus(WLV),Caneberries
VIRAL DISEASES and VIRUSLIKE AGENTS,North American raspberry decline,"genusNepovirus, Tomato ringspot virus(TomRSV) or genusNepovirus, Cherry rasp leaf virus(CRLV)",Caneberries
VIRAL DISEASES and VIRUSLIKE AGENTS,Raspberry bushy dwarf,"genusIdeaovirus, Raspberry bushy dwarf virus(RBDV)",Caneberries
VIRAL DISEASES and VIRUSLIKE AGENTS,Raspberry mosaic,In North America caused by complexes of:Rubus yellow net virus(RYNV); black raspberry necrosis virus(BRNV); and an unnamed isometric virus similar toraspberry leaf mottle virus(RLMV),Caneberries
VIRAL DISEASES and VIRUSLIKE AGENTS,Raspberry ringspot*,"Caused by either genusNepovirus, Raspberry ringspot virus(RRSV) or genusNepovirus tomato black ring virus(TBRV)",Caneberries
VIRAL DISEASES and VIRUSLIKE AGENTS,Raspberry vein chlorosis,Raspberry vein chlorosis virus(RVCV),Caneberries
VIRAL DISEASES and VIRUSLIKE AGENTS,Raspberry veinbanding mosaic*,"Caused by RYNV + RLMV; additionallyraspberry leaf spot virus(RLSV), uncharacterized, may occur with this complex",Caneberries
VIRAL DISEASES and VIRUSLIKE AGENTS,Raspberry yellow dwarf*,"Caused by either genusNepovirus,Arabis mosaic virus(ArMV) or genusNepovirus, Strawberry latent ringspot virus(SLRV)",Caneberries
VIRAL DISEASES and VIRUSLIKE AGENTS,Raspberry yellow spot*,Raspberry yellow spot (virus-like agent of unknown relationship),Caneberries
VIRAL DISEASES and VIRUSLIKE AGENTS,Thimbleberry ringspot,"genusIlarvirus, Apple mosaic virus",Caneberries
PHYTOPLASMAL and SPIROPLASMAL DISEASES,Black raspberry witches’-broom,Phytoplasma,Caneberries
PHYTOPLASMAL and SPIROPLASMAL DISEASES,Rubus stunt*,Rubus stunt phytoplasma (Europe),Caneberries
ALGAL DISEASES,Orange felt,Cephaleuros virescensKunze,Caneberries
MISCELLANEOUS DISEASES and DISORDERS,Alpine mosaic in Rubus,"Alpine mosaic agent, (a graft-transmissible agent of unknown identity)",Caneberries
MISCELLANEOUS DISEASES and DISORDERS,Blackberry sterility,Cause unknown,Caneberries
MISCELLANEOUS DISEASES and DISORDERS,Brown berry disease (of black raspberry),Cause unknown,Caneberries
MISCELLANEOUS DISEASES and DISORDERS,Crumbly berries,"Various causes: poor pollination, genetic, virus, insect, nutrition, winter injury, water relations",Caneberries
MISCELLANEOUS DISEASES and DISORDERS,Dryberry disease (loganberry),Phyllocoptes gracilis(Nalepa) (dryberry mite) andRhizoctonia rubiMcKeen,Caneberries
MISCELLANEOUS DISEASES and DISORDERS,Fasciation,Cause unknown,Caneberries
MISCELLANEOUS DISEASES and DISORDERS,Midge blight *,"Phoma macrostomaMont. var.macrostoma
Fusarium culmorum(Wm. G. Sm.) Sacc.
Alternariaspp. colonization following feeding byResseliella
theoboldi(Barnes) (raspberry cane midge)",Caneberries
MISCELLANEOUS DISEASES and DISORDERS,Raspberry leaf curl,Raspberry leaf curl uncharacterized agent(s),Caneberries
MISCELLANEOUS DISEASES and DISORDERS,Redberry disease,Acalitus essigi(Hassan) (redberry mite),Caneberries
MISCELLANEOUS DISEASES and DISORDERS,Seedborne dsRNA in wild raspberry,"dsRNA of mol. wt. typical of plant viruses, but not associated with host symptoms or virus-like particles",Caneberries
MISCELLANEOUS DISEASES and DISORDERS,Seedborne dsRNA in wild raspberry,"dsRNA of mol. wt. typical of plant viruses, but not associated with host symptoms or virus-like particles",Carnation
BACTERIAL DISEASES,Bacterial leaf spot,"Burkholderia andropogonis(Smith) Gillis
= Pseudomonas androponis(Smith) Stapp
=P. woodsii(Smith) Stevens",Carnation
BACTERIAL DISEASES,Bacterial wilt,"Burkholderia caryophylli(Burkholder) Yabuuchi
= Pseudomonas caryophylli(Burkholder) Starr
and Burkholder",Carnation
BACTERIAL DISEASES,Bacterial slow wilt,"Erwinia chrysanthemiBurkholder, McFadden and Dimock",Carnation
BACTERIAL DISEASES,Crown gall,Agrobacterium tumefaciens(Smith & Townsend) Conn,Carnation
BACTERIAL DISEASES,Fasciation,"Rhodococcus fascians(Tilford) Goodfellow
=Corynebacterium fascians(Tilford) Dowson",Carnation
FUNGAL DISEASES,Alternaria blight,"Alternaria saponariae(Peck) Neergaard
=A. dianthiF. Stevens & J. G. Hall
A. dianthicolaNeergaard",Carnation
FUNGAL DISEASES,Anther smut,Ustilago violacea(Pers.:Pers.) Roussel,Carnation
FUNGAL DISEASES,Calyx rot,"Stemphylium botryosumWallr.
Pleospora tardaE. Simmons [teleomorph]",Carnation
FUNGAL DISEASES,Charcoal rot,Macrophomina phaseolina(Tassi) Goidanich,Carnation
FUNGAL DISEASES,Downy mildew,Peronospora dianthicolaBarthelet,Carnation
FUNGAL DISEASES,Fairy-ring leaf spot,"Mycosphaerella dianthi(C. C. Burt) Jorst.
Cladosporium echinulatum(Berk.) G. A. De Vries
[anamorph]",Carnation
FUNGAL DISEASES,Fusarium bud rot,Fusarium tricinctum(Corda) Sacc.,Carnation
FUNGAL DISEASES,Fusarium stem rot,"Fusarium graminearumSchwabe
Gibberella zeae(Schwein.) Petch [teleomorph]",Carnation
FUNGAL DISEASES,Fusarium wilt,Fusarium oxysporumSchlechtend.:Fr. f. sp.dianthi(Prill. & Delacr.) W. C. Snyder & H. N. Hans.,Carnation
FUNGAL DISEASES,Gray mold,"Botrytis cinereaPers.:Fr.
Botryotinia fuckeliana(de Bary) Whetzel [teleomorph]",Carnation
FUNGAL DISEASES,Greasy blotch,"Zygophiala jamaicensisE. Mason
Schizothyrium pomi(Mont.:Fr.) Arx [teleomorph]",Carnation
FUNGAL DISEASES,Phialophora wilt,Phialophora cinerescens(Wollenweb.) Van Beyma,Carnation
FUNGAL DISEASES,Phymatotrichum root rot (cotton root rot),"Phymatotrichiopsis omnivora(Duggar) Hennebert
=Phymatotrichum omnivorumDuggar",Carnation
FUNGAL DISEASES,Pythium root rot,"Pythiumspp.
P. ultimumTrow",Carnation
FUNGAL DISEASES,Phytophthora wilt,Phytophthora nicotianaeBreda de Haan var.parasitica(Dastur) G. M. Waterhouse,Carnation
FUNGAL DISEASES,Rhizoctonia stem rot,"Rhizoctonia solaniKühn
Thanatephorus cucumeris(A. B. Frank) Donk
[teleomorph]",Carnation
FUNGAL DISEASES,Rust,Uromyces dianthi(Pers.:Pers.) Niessl,Carnation
FUNGAL DISEASES,Sclerotinia flower rot,Sclerotinia sclerotiorum(Lib.) deBary,Carnation
FUNGAL DISEASES,Septoria leaf spot,Septoria dianthiDesmaz.,Carnation
FUNGAL DISEASES,Southern blight,"Sclerotium rolfsiiSacc.
Athelia rolfsii(Curzi) Tu & Kimbrough [teleomorph]",Carnation
NEMATODE DISEASES,Cyst,Heterodera trifoliiGoffart,Carnation
NEMATODE DISEASES,Lance,Hoplolaimusspp.,Carnation
NEMATODE DISEASES,Lesion,Pratylenchusspp.,Carnation
NEMATODE DISEASES,Pin,Paratylenchus hamatusThorne & Allen,Carnation
NEMATODE DISEASES,Ring,"Mesocriconemaspp.
= Criconemellaspp.",Carnation
NEMATODE DISEASES,Root-knot,Meloidogynespp.,Carnation
VIRAL DISEASES,Carnation etched ring,"genusCauliovirus, Carnation etched ring virus(CERV)",Carnation
VIRAL DISEASES,Carnation latent,"genusCarlavirus, Carnation latent virus(CLV)",Carnation
VIRAL DISEASES,Carnation mottle,"genusCarmovirus, Carnation mottle virus(CarMV)",Carnation
VIRAL DISEASES,Carnation necrotic fleck & Carnation streak,"genusClosterovirus, Carnation necrotic fleck virus(CNFV)",Carnation
VIRAL DISEASES,Carnation ring spot,"genusDianthovirus, Carnation ringspot virus(CRSV)",Carnation
VIRAL DISEASES,Carnation vein mottle,"genusPotyvirus, Carnation vein mottle virus(CVMV)",Carnation
VIRAL DISEASES,Carnation vein mottle,"genusPotyvirus, Carnation vein mottle virus(CVMV)",Carrot
BACTERIAL DISEASES,Bacterial leaf blight,"Xanthomonas hortorumpv.carotae(Kendrick) Vauterin et al.
(syn.X. campestris(Pammel) Dowson pv.carotae(Kendrick) Dye)",Carrot
BACTERIAL DISEASES,Bacterial soft rot,"Dickeya dadantiiSamson et al.
(syns.D. chrysanthemi(Burkholder et al.)
Samson et al.;Erwinia chrysanthemi
Burkholder et al.)
Pectobacterium carotovorumsubsp.carotovorum(Jones) Hauben et al.
(syn. Erwinia carotovorasubsp.carotovora(Jones) Bergey et al.)
Pectobacterium atrosepticum(van Hall) Garden
et al.
(syns.Erwinia carotovorasubsp.atroseptica(van Hall) Dye;P. carotovorum
subsp.atrosepticum(van Hall) Hauben et al.)",Carrot
BACTERIAL DISEASES,Crown gall,"Agrobacterium tumefaciens(Smith &
Townsend) Conn",Carrot
BACTERIAL DISEASES,Hairy root,Agrobacterium rhizogenes(Riker et al.) Conn,Carrot
BACTERIAL DISEASES,Scab,"Streptomyces scabiei(Thaxter) Lambert &
Loria
(syn.Streptomyces scabies(Thaxter) Waksman
& Henrici)",Carrot
FUNGAL and OOMYCETE DISEASES,Alternaria leaf blight,"Alternaria dauci(J. G. Kühn) J. W. Groves
& Skolko",Carrot
FUNGAL and OOMYCETE DISEASES,Black root rot,"Thielaviopsis basicola(Berk. & Broome)
Ferraris
(syn.Chalara elegansNag Raj & Kendr.)",Carrot
FUNGAL and OOMYCETE DISEASES,Black rot,"Alternaria radicinaMeier, Drechsler & E.
D. Eddy
(syn.Stemphylium radicinum(Meier,
Drechsler & E. D. Eddy) Neerg.)",Carrot
FUNGAL and OOMYCETE DISEASES,Blue mold rot,Penicillium expansumLink,Carrot
FUNGAL and OOMYCETE DISEASES,Brown rot,"Plenodomus libanotidis(Fuckel)
Gruyter, Aveskamp & Verkley
(syn.Leptosphaeria libanotis(Fuckel) Niessl)",Carrot
FUNGAL and OOMYCETE DISEASES,Buckshot rot,Typhulaspp.,Carrot
FUNGAL and OOMYCETE DISEASES,Canker,"Rhizoctonia solaniJ. G. Kühn
(syn.Thanatephorus cucumeris(A. B. Frank)
Donk)",Carrot
FUNGAL and OOMYCETE DISEASES,Cavity spot,"Globisporangium ultimum(Trow) Uzuhashi,
Tojo & Kakish.
(syn.Pythium ultimumTrow)
Globisporangium violae(Chesters &
Hickman) Uzuhashi, Tojo & Kakish.
(syn.Pythium violaeChester & Hickman)
Pythium sulcatumR. G. Pratt
& J. E. Mitchell
Pythiumspp.",Carrot
FUNGAL and OOMYCETE DISEASES,Cercospora leaf spot,"Cercospora carotae(Pass.) Kazn. &
Siemaszko",Carrot
FUNGAL and OOMYCETE DISEASES,Cottony rot,"Sclerotinia minorJagger
Sclerotinia sclerotiorum(Lib.) de Bary",Carrot
FUNGAL and OOMYCETE DISEASES,Crater rot,"Athelia arachnoidea(Berk.)
Jülich
(syns.Fibularhizoctonia carotae(Rader)
Adams & Kropp;Rhizoctonia carotaeRader)",Carrot
FUNGAL and OOMYCETE DISEASES,Damping-off,"Fusariumspp.
Pythiumspp.
Rhizoctonia solaniJ. G. Kühn
(syn.Thanatephorus cucumeris(A. B. Frank)
Donk)",Carrot
FUNGAL and OOMYCETE DISEASES,Downy mildew,"Plasmopara crustosa(Fr.) Jörst.
P. nivea (Unger) J. Schröt.",Carrot
FUNGAL and OOMYCETE DISEASES,Fusarium dry rot,Fusariumsp.,Carrot
FUNGAL and OOMYCETE DISEASES,Gray mold,"Botrytis cinereaPers.:Fr.
(syn.Botryotinia fuckeliana(de Bary)
Whetzel)",Carrot
FUNGAL and OOMYCETE DISEASES,Hard rot,"Fusariumsp.
Gliocladium roseumBainier
(syn.G. aureumRader)",Carrot
FUNGAL and OOMYCETE DISEASES,Leaf rot,Typhula variabilisRiess,Carrot
FUNGAL and OOMYCETE DISEASES,Leaf spot (Ramularia leaf spot),Ramulariaspp.,Carrot
FUNGAL and OOMYCETE DISEASES,Licorice rot,"Mycocentrospora acerina(R. Hartig) Deighton
(syn.Centrospora acerina(R. Hartig) A. G.
Newhall)",Carrot
FUNGAL and OOMYCETE DISEASES,Phymatotrichum root rot,"Phymatotrichopsis omnivora(Duggar)
Hennebert
(syn.Phymatotrichum omnivorumDuggar)",Carrot
FUNGAL and OOMYCETE DISEASES,Phytophthora root rot,"Phytophthora cactorum(Lebert & Cohn) J.
Schröt.
Phytophthoraspp.",Carrot
FUNGAL and OOMYCETE DISEASES,Pink mold rot,Trichothecium roseum(Pers.) Link,Carrot
FUNGAL and OOMYCETE DISEASES,Powdery mildew,"Erysiphe heracleiDC.
Erysiphe polygoniDC.
(syn.E. umbelliferum(Lev.) de Bary)
Leveillula lanuginosa(Fuckel) Golovin
Leveillula taurica(Lev.) G. Arnaud",Carrot
FUNGAL and OOMYCETE DISEASES,Rhizoctonia root canker,"Rhizoctonia solaniJ. G. Kühn
(syn.Thanatephorus cucumeris(A. B. Frank)
Donk)",Carrot
FUNGAL and OOMYCETE DISEASES,Rhizopus wooly soft rot,"Rhizopus arrhizusA. Fischer
(syn.R. oryzaeWent & Prins. Geerl.)
Rhizopus stolonifer(Ehrenb.) Vuill.
(syn.R. nigricansEhrenb.)",Carrot
FUNGAL and OOMYCETE DISEASES,Root dieback,"Globisporangium irregulare(Buisman)
Uzuhashi, Tojo & Kakish.
(syn.Pythium irregulareBuisman)
Globisporangium paroecandrum(Drechsler)
Uzuhashi, Tojo & Kakish.
(syn.Pythium paroecandrumDrechsler)
Globisporangium sylvaticum(W.
A. Campbell & F. F. Hendrix) Uzuhashi, Tojo & Kakish.
(syn.Pythium sylvaticumW. A. Campbell
& F. F. Hendrix)
Globisporangium ultimum(Trow) Uzuhashi,
Tojo & Kakish.
(syn.Pythium ultimumTrow)
Pythiumspp.
Rhizoctonia solaniJ. G. Kühn
(syn.Thanatephorus cucumeris(A. B. Frank)
Donk)",Carrot
FUNGAL and OOMYCETE DISEASES,Rubbery slate rot,"Globisporangium debaryanum(R. Hesse)
Uzuhashi, Tojo & Kakish.
(syn.Pythium debaryanumR. Hesse)",Carrot
